象	象	xiàng	elephant ◆ CL:隻|只[zhi1] ◆ shape ◆ form ◆ appearance ◆ to imitate	
王	王	Wáng	surname Wang	
思	思	sī	to think ◆ to consider	
权	權	Quán	surname Quan	
且	且	qiě	and ◆ moreover ◆ yet ◆ for the time being ◆ to be about to ◆ both (... and...)	
难	難	nán	difficult (to...) ◆ problem ◆ difficulty ◆ difficult ◆ not good	
像	像	xiàng	to resemble ◆ to be like ◆ to look as if ◆ such as ◆ appearance ◆ image ◆ portrait ◆ image under a mapping (math.)	
即	即	jí	namely ◆ that is ◆ i.e. ◆ prompt ◆ at once ◆ at present ◆ even if ◆ prompted (by the occasion) ◆ to approach ◆ to come into contact ◆ to assume (office) ◆ to draw near	
强	強	Qiáng	surname Qiang	
放	放	fàng	to put ◆ to place ◆ to release ◆ to free ◆ to let go ◆ to let out ◆ to set off (fireworks)	
光	光	guāng	light ◆ ray ◆ CL:道[dao4] ◆ bright ◆ only ◆ merely ◆ to use up	
达	達	Dá	surname Da	
界	界	jiè	(bound form) boundary; border ◆ (bound form) realm	
界	界	jiè	(bound form) boundary; border ◆ (bound form) realm	
却	㕁	què	old variant of 卻|却[que4]	
白	白	Bái	surname Bai	
听	听	yǐn	smile (archaic)	
则	則	zé	(literary) (conjunction used to express contrast with a previous clause) but; then ◆ (bound form) standard; norm ◆ (bound form) principle ◆ (literary) to imitate; to follow ◆ classifier for written items	
非	非	Fēi	abbr. for 非洲[Fei1 zhou1], Africa	
书	書	Shū	abbr. for 書經|书经[Shu1 jing1]	
眼	眼	yǎn	eye ◆ small hole ◆ crux (of a matter) ◆ CL:隻|只[zhi1],雙|双[shuang1] ◆ classifier for big hollow things (wells, stoves, pots etc)	
基	基	jī	(bound form) base; foundation ◆ (bound form) radical (chemistry) ◆ (bound form) gay (loanword from English into Cantonese, Jyutping: gei1, followed by orthographic borrowing from Cantonese)	
五	五	wǔ	five ◆ 5	
司	司	Sī	surname Si	
科	科	kē	branch of study ◆ administrative section ◆ division ◆ field ◆ branch ◆ stage directions ◆ family (taxonomy) ◆ rules ◆ laws ◆ to mete out (punishment) ◆ to levy (taxes etc) ◆ to fine sb ◆ CL:個|个[ge4]	
马	馬	Mǎ	surname Ma ◆ abbr. for Malaysia 馬來西亞|马来西亚[Ma3 lai2 xi1 ya4]	
展	展	Zhǎn	surname Zhan	
治	治	zhì	to rule ◆ to govern ◆ to manage ◆ to control ◆ to harness (a river) ◆ to treat (a disease) ◆ to wipe out (a pest) ◆ to punish ◆ to research	
决	決	jué	to decide ◆ to determine ◆ to execute (sb) ◆ (of a dam etc) to breach or burst ◆ definitely ◆ certainly	
空	空	kōng	empty ◆ air ◆ sky ◆ in vain	
便	便	biàn	plain ◆ informal ◆ suitable ◆ convenient ◆ opportune ◆ to urinate or defecate ◆ equivalent to 就[jiu4]: then ◆ in that case ◆ even if ◆ soon afterwards	
社	社	shè	society ◆ group ◆ club ◆ agency ◆ (old) god of the land	
形	形	xíng	to appear ◆ to look ◆ form ◆ shape	
队	隊	duì	squadron ◆ team ◆ group ◆ CL:個|个[ge4]	
至	至	zhì	to arrive ◆ most ◆ to ◆ until	
保	保	Bǎo	Bulgaria ◆ Bulgarian ◆ abbr. for 保加利亞|保加利亚[Bao3 jia1 li4 ya4]	
区	區	Oū	surname Ou	
统	統	tǒng	to gather ◆ to unite ◆ to unify ◆ whole	
许	許	Xǔ	surname Xu	
克	克	Kè	abbr. for 克羅地亞|克罗地亚[Ke4 luo2 di4 ya4], Croatia ◆ (Tw) abbr. for 克羅埃西亞|克罗埃西亚[Ke4 luo2 ai1 xi1 ya4], Croatia	
指	指	zhǐ	finger ◆ to point at or to ◆ to indicate or refer to ◆ to depend on ◆ to count on ◆ (of hair) to stand on end	
金	金	Jīn	surname Jin ◆ surname Kim (Korean) ◆ Jurchen Jin dynasty (1115-1234)	
山	山	Shān	surname Shan	
命	命	mìng	life ◆ fate ◆ order or command ◆ to assign a name, title etc	
资	資	zī	resources ◆ capital ◆ to provide ◆ to supply ◆ to support ◆ money ◆ expense	
德	德	Dé	Germany ◆ German ◆ abbr. for 德國|德国[De2 guo2]	
直	直	Zhí	surname Zhi ◆ Zhi (c. 2000 BC), fifth of the legendary Flame Emperors 炎帝[Yan2 di4] descended from Shennong 神農|神农[Shen2 nong2] Farmer God	
市	市	shì	market ◆ city ◆ CL:個|个[ge4]	
期	朞	qī	variant of 期[qi1] ◆ period ◆ cycle	
管	筦	guǎn	pipe; tube; duct
计	計	jì	plan; plot; scheme
件	件	jiàn	item ◆ component
场	場	chǎng	open space; field
必	必	bì	certainly ◆ must
接	接	jiē	to receive ◆ to connect ◆ to catch
做	做	zuò	to make; to do ◆ to write
务	務	wù	affair ◆ business ◆ matter
建	建	jiàn	to establish ◆ to found ◆ to build ◆ to construct
感	感	gǎn	to feel ◆ to touch ◆ to affect
再	再	zài	again; once more; re-
量	量	liàng	measure; quantity
太	太	tài	highest ◆ greatest ◆ too (much)
目	目	mù	eye
受	受	shòu	to receive ◆ to accept ◆ to suffer; to bear
反	反	fǎn	contrary ◆ reverse; opposite; anti-
结	結	jié	knot; tie; join
才	才	cái	ability ◆ talent; then and only then
报	報	bào	to announce ◆ to inform ◆ report
少	少	shǎo	few ◆ less
安	安	ān	peaceful; tranquil
数	數	shù	number; count
电	電	diàn	lightning ◆ electricity
何	何	hé	what; why; where; which; how
总	總	zǒng	always ◆ gather ◆ overall ◆ chief
神	神	shén	God; spirit
四	四	sì	four
变	變	biàn	to change ◆ to transform
女	女	nǚ	woman ◆ daughter
打	打	dǎ	to strike; to hit
别	別	bié	separate; other; do not
更	更	gēng	more; still futher
尔	尒	ěr	that; those
活	活	huó	to live ◆ alive
题	題	tí	forehead; title; headline
气	氣	qì	gas; air ◆ to make angry; ◆ vital energy; qi
系	係	xì	system; line; link; connection
平	平	Píng	flat; level; peaceful
条	條	tiáo	strip ◆ item
认	認	rèn	to recognize ◆ to know ◆ to admit
口	口	kǒu	mouth ◆ classifier for things with mouths
几	几	jǐ	small table
入	入	rù	to enter ◆ to become a member of
各	各	gè	each ◆ every
义	義	yì	right conduct; righteousness
走	走	zǒu	to walk ◆ to go ◆ to leave
处	處	chù	place; locale
论	論	lùn	debate; discourse
真	真	zhēn	really ◆ truly ◆ genuine
名	名	míng	name
水	水	shuǐ	water
